Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
BKT,LONG,BULL,2025-10-30 09:00:00,2025-11-18 09:00:00,12.98,13.2583,1823,23667.87,2.14%,483.88,TRAILING_STOP,97.07%
FCC,LONG,BULL,2025-11-03 09:00:00,2025-11-07 09:00:00,11.44,10.9431,954,10916.04,-4.34%,-485.06,TRAILING_STOP,98.29%
LDA,LONG,BULL,2025-11-03 09:00:00,2025-11-14 14:00:00,1.158,1.1036,9427,10916.04,-4.7%,-523.97,TRAILING_STOP,97.75%
TEF,LONG,BULL,2025-11-06 09:00:00,2025-11-28 15:00:00,3.646,3.744,12752,46494.6,2.69%,1203.22,TIEMPO_MAX,98.68%
LOG,LONG,BULL,2025-11-10 09:00:00,2025-11-25 09:00:00,29.52,28.8792,838,24728.61,-2.17%,-561.52,TRAILING_STOP,97.36%
IAG,LONG,BULL,2025-11-13 09:00:00,2025-11-18 09:00:00,4.509,4.2971,10412,46946.15,-4.7%,-2253.42,TRAILING_STOP,97.9%
COL,LONG,BULL,2025-11-17 09:00:00,2025-12-09 15:00:00,5.28,5.135,2178,11498.86,-2.75%,-327.28,TIEMPO_MAX,97.36%
MEL,LONG,BULL,2025-11-20 09:00:00,2025-12-12 15:00:00,6.945,7.575,1637,11368.39,9.07%,1019.89,TIEMPO_MAX,96.73%
ENC,LONG,BULL,2025-11-20 09:00:00,2025-12-12 15:00:00,2.266,2.334,5017,11368.39,3.0%,329.78,TIEMPO_MAX,96.58%
SAB,LONG,BULL,2025-11-20 09:00:00,2025-12-12 15:00:00,3.15,3.339,14098,44407.78,6.0%,2620.06,TIEMPO_MAX,96.58%
LDA,LONG,BULL,2025-11-27 09:00:00,2025-12-03 13:00:00,1.156,1.1019,9798,11326.99,-4.68%,-541.72,TRAILING_STOP,96.63%
MTS,LONG,BULL,2025-11-27 09:00:00,2025-12-19 15:00:00,36.8,38.38,308,11326.99,4.29%,475.0,TIEMPO_MAX,95.9%
FCC,LONG,BULL,2025-12-01 09:00:00,2025-12-18 16:00:00,11.48,11.0187,994,11415.7,-4.02%,-470.13,TRAILING_STOP,95.61%
MRL,LONG,BULL,2025-12-01 09:00:00,2025-12-09 16:00:00,12.61,12.0771,905,11415.7,-4.23%,-493.84,TRAILING_STOP,95.31%
SCYR,LONG,BULL,2025-12-01 09:00:00,2025-12-10 09:00:00,3.8,3.7895,3004,11415.7,-0.28%,-43.11,TRAILING_STOP,95.07%
ALM,LONG,BULL,2025-12-01 09:00:00,2025-12-17 09:00:00,12.6,12.663,906,11415.7,0.5%,45.66,TRAILING_STOP,94.24%
PHM,LONG,BULL,2025-12-04 09:00:00,2025-12-17 17:00:00,75.35,73.1902,145,10920.73,-2.87%,-323.94,TRAILING_STOP,96.83%
DOM,LONG,BULL,2025-12-11 09:00:00,2026-01-08 12:00:00,3.29,3.38,2920,9607.85,2.74%,253.22,TIEMPO_MAX,97.17%
LOG,LONG,BULL,2025-12-11 09:00:00,2026-01-08 11:00:00,28.56,30.74,825,23566.76,7.63%,1775.3,TIEMPO_MAX,96.63%
VIS,LONG,BULL,2025-12-15 09:00:00,2026-01-12 11:00:00,52.9,54.6,238,12591.93,3.21%,392.06,TIEMPO_MAX,96.14%
